state,year,people
A & N ISLANDS,2001,383
A & N ISLANDS,2002,331
A & N ISLANDS,2003,296
A & N ISLANDS,2004,221
A & N ISLANDS,2005,224
A & N ISLANDS,2006,346
A & N ISLANDS,2007,413
A & N ISLANDS,2008,221
A & N ISLANDS,2009,228
A & N ISLANDS,2010,688
A & N ISLANDS,2011,1119
A & N ISLANDS,2012,1126
A & N ISLANDS,2013,1149
ANDHRA PRADESH,2001,13090
ANDHRA PRADESH,2002,13423
ANDHRA PRADESH,2003,14084
ANDHRA PRADESH,2004,13881
ANDHRA PRADESH,2005,14613
ANDHRA PRADESH,2006,15421
ANDHRA PRADESH,2007,15045
ANDHRA PRADESH,2008,14080
ANDHRA PRADESH,2009,12808
ANDHRA PRADESH,2010,12490
ANDHRA PRADESH,2011,13213
ANDHRA PRADESH,2012,13285
ANDHRA PRADESH,2013,14313
ARUNACHAL PRADESH,2009,62
ARUNACHAL PRADESH,2010,57
ARUNACHAL PRADESH,2011,55
ARUNACHAL PRADESH,2012,71
ARUNACHAL PRADESH,2013,92
ASSAM,2001,6485
ASSAM,2002,7067
ASSAM,2003,7637
ASSAM,2004,7828
ASSAM,2005,8513
ASSAM,2006,8538
ASSAM,2007,8705
ASSAM,2008,8742
ASSAM,2009,8160
ASSAM,2010,7922
ASSAM,2011,8203
ASSAM,2012,8271
ASSAM,2013,8263
BIHAR,2001,35907
BIHAR,2002,37300
BIHAR,2003,37323
BIHAR,2004,33073
BIHAR,2005,45818
BIHAR,2006,44281
BIHAR,2007,39638
BIHAR,2008,37709
BIHAR,2009,33711
BIHAR,2010,29700
BIHAR,2011,28032
BIHAR,2012,28550
BIHAR,2013,31259
CHANDIGARH,2001,426
CHANDIGARH,2002,456
CHANDIGARH,2003,525
CHANDIGARH,2004,549
CHANDIGARH,2005,455
CHANDIGARH,2006,438
CHANDIGARH,2007,501
CHANDIGARH,2008,526
CHANDIGARH,2009,643
CHANDIGARH,2010,640
CHANDIGARH,2011,626
CHANDIGARH,2012,734
CHANDIGARH,2013,661
CHHATISGARH,2013,15840
CHHATTISGARH,2001,9667
CHHATTISGARH,2002,10006
CHHATTISGARH,2003,8861
CHHATTISGARH,2004,8873
CHHATTISGARH,2005,9821
CHHATTISGARH,2006,10359
CHHATTISGARH,2007,10451
CHHATTISGARH,2008,11230
CHHATTISGARH,2009,12142
CHHATTISGARH,2010,12915
CHHATTISGARH,2011,13918
CHHATTISGARH,2012,14780
D & N HAVELI,2001,166
D & N HAVELI,2002,160
D & N HAVELI,2003,172
D & N HAVELI,2004,33
D & N HAVELI,2005,29
D & N HAVELI,2006,33
D & N HAVELI,2007,28
D & N HAVELI,2008,46
D & N HAVELI,2009,56
D & N HAVELI,2010,42
D & N HAVELI,2011,25
D & N HAVELI,2012,37
D & N HAVELI,2013,35
DAMAN & DIU,2001,41
DAMAN & DIU,2002,33
DAMAN & DIU,2003,33
DAMAN & DIU,2004,27
DAMAN & DIU,2005,35
DAMAN & DIU,2006,54
DAMAN & DIU,2007,66
DAMAN & DIU,2008,43
DAMAN & DIU,2009,40
DAMAN & DIU,2010,30
DAMAN & DIU,2011,29
DAMAN & DIU,2012,25
DAMAN & DIU,2013,56
DELHI,2001,11023
DELHI,2002,12041
DELHI,2003,12172
DELHI,2004,12610
DELHI,2005,12317
DELHI,2006,13400
DELHI,2007,11605
DELHI,2008,11553
DELHI,2009,11246
DELHI,2010,10856
DELHI,2011,12124
DELHI,2012,12113
DELHI,2013,13552
GOA,2001,452
GOA,2002,352
GOA,2003,532
GOA,2004,427
GOA,2005,384
GOA,2006,380
GOA,2007,366
GOA,2008,403
GOA,2009,432
GOA,2010,456
GOA,2011,489
GOA,2012,472
GOA,2013,523
GUJARAT,2001,8923
GUJARAT,2002,10247
GUJARAT,2003,10226
GUJARAT,2004,11570
GUJARAT,2005,11216
GUJARAT,2006,11793
GUJARAT,2007,11842
GUJARAT,2008,12279
GUJARAT,2009,11942
GUJARAT,2010,11528
GUJARAT,2011,11601
GUJARAT,2012,11585
GUJARAT,2013,12058
HARYANA,2001,11348
HARYANA,2002,11358
HARYANA,2003,12099
HARYANA,2004,12010
HARYANA,2005,12547
HARYANA,2006,12687
HARYANA,2007,13093
HARYANA,2008,14049
HARYANA,2009,13837
HARYANA,2010,14219
HARYANA,2011,15033
HARYANA,2012,16952
HARYANA,2013,17644
HIMACHAL PRADESH,2001,907
HIMACHAL PRADESH,2002,897
HIMACHAL PRADESH,2003,978
HIMACHAL PRADESH,2004,1044
HIMACHAL PRADESH,2005,1168
HIMACHAL PRADESH,2006,1336
HIMACHAL PRADESH,2007,1435
HIMACHAL PRADESH,2008,1468
HIMACHAL PRADESH,2009,1554
HIMACHAL PRADESH,2010,1585
HIMACHAL PRADESH,2011,1607
HIMACHAL PRADESH,2012,1716
HIMACHAL PRADESH,2013,1999
JAMMU & KASHMIR,2001,1647
JAMMU & KASHMIR,2002,1803
JAMMU & KASHMIR,2003,1895
JAMMU & KASHMIR,2004,2039
JAMMU & KASHMIR,2005,2137
JAMMU & KASHMIR,2006,2270
JAMMU & KASHMIR,2007,2299
JAMMU & KASHMIR,2008,2310
JAMMU & KASHMIR,2009,2362
JAMMU & KASHMIR,2010,2577
JAMMU & KASHMIR,2011,2663
JAMMU & KASHMIR,2012,2540
JAMMU & KASHMIR,2013,2352
JHARKHAND,2001,16517
JHARKHAND,2002,15128
JHARKHAND,2003,16415
JHARKHAND,2004,17497
JHARKHAND,2005,19233
JHARKHAND,2006,20709
JHARKHAND,2007,17936
JHARKHAND,2008,18403
JHARKHAND,2009,17196
JHARKHAND,2010,18042
JHARKHAND,2011,16586
JHARKHAND,2012,17331
JHARKHAND,2013,18220
KARNATAKA,2001,9746
KARNATAKA,2002,10412
KARNATAKA,2003,10902
KARNATAKA,2004,11542
KARNATAKA,2005,12227
KARNATAKA,2006,12700
KARNATAKA,2007,13052
KARNATAKA,2008,13538
KARNATAKA,2009,13241
KARNATAKA,2010,12889
KARNATAKA,2011,12666
KARNATAKA,2012,13137
KARNATAKA,2013,14118
KERALA,2001,5376
KERALA,2002,5188
KERALA,2003,6464
KERALA,2004,7194
KERALA,2005,6863
KERALA,2006,6504
KERALA,2007,6742
KERALA,2008,6732
KERALA,2009,6971
KERALA,2010,6692
KERALA,2011,6229
KERALA,2012,6947
KERALA,2013,7395
LAKSHADWEEP,2001,1
LAKSHADWEEP,2002,16
LAKSHADWEEP,2003,4
LAKSHADWEEP,2004,0
LAKSHADWEEP,2005,6
LAKSHADWEEP,2006,0
LAKSHADWEEP,2007,22
LAKSHADWEEP,2008,19
LAKSHADWEEP,2009,44
LAKSHADWEEP,2010,27
LAKSHADWEEP,2011,80
LAKSHADWEEP,2012,0
LAKSHADWEEP,2013,0
MADHYA PRADESH,2001,29087
MADHYA PRADESH,2002,27767
MADHYA PRADESH,2003,26832
MADHYA PRADESH,2004,28932
MADHYA PRADESH,2005,31480
MADHYA PRADESH,2006,32000
MADHYA PRADESH,2007,32712
MADHYA PRADESH,2008,34755
MADHYA PRADESH,2009,32806
MADHYA PRADESH,2010,31318
MADHYA PRADESH,2011,32916
MADHYA PRADESH,2012,33959
MADHYA PRADESH,2013,34708
MAHARASHTRA,2001,22527
MAHARASHTRA,2002,22022
MAHARASHTRA,2003,23929
MAHARASHTRA,2004,24922
MAHARASHTRA,2005,25431
MAHARASHTRA,2006,25789
MAHARASHTRA,2007,25892
MAHARASHTRA,2008,25831
MAHARASHTRA,2009,24884
MAHARASHTRA,2010,24281
MAHARASHTRA,2011,24082
MAHARASHTRA,2012,24509
MAHARASHTRA,2013,27400
MANIPUR,2001,462
MANIPUR,2002,516
MANIPUR,2003,532
MANIPUR,2004,465
MANIPUR,2005,529
MANIPUR,2006,398
MANIPUR,2007,444
MANIPUR,2008,465
MANIPUR,2009,532
MANIPUR,2010,618
MANIPUR,2011,647
MANIPUR,2012,723
MANIPUR,2013,660
MEGHALAYA,2001,526
MEGHALAYA,2002,532
MEGHALAYA,2003,555
MEGHALAYA,2004,493
MEGHALAYA,2005,555
MEGHALAYA,2006,621
MEGHALAYA,2007,665
MEGHALAYA,2008,619
MEGHALAYA,2009,656
MEGHALAYA,2010,626
MEGHALAYA,2011,570
MEGHALAYA,2012,696
MEGHALAYA,2013,850
MIZORAM,2001,858
MIZORAM,2002,858
MIZORAM,2003,837
MIZORAM,2004,959
MIZORAM,2005,713
MIZORAM,2006,729
MIZORAM,2007,941
MIZORAM,2008,790
MIZORAM,2009,765
MIZORAM,2010,992
MIZORAM,2011,881
MIZORAM,2012,847
MIZORAM,2013,870
NAGALAND,2001,665
NAGALAND,2002,631
NAGALAND,2003,568
NAGALAND,2004,589
NAGALAND,2005,625
NAGALAND,2006,674
NAGALAND,2007,501
NAGALAND,2008,619
NAGALAND,2009,623
NAGALAND,2010,521
NAGALAND,2011,502
NAGALAND,2012,398
NAGALAND,2013,487
ORISSA,2001,11675
ORISSA,2002,12637
ORISSA,2003,12967
ORISSA,2004,13158
ORISSA,2005,13958
ORISSA,2006,14644
ORISSA,2007,15368
ORISSA,2008,14373
ORISSA,2009,13534
ORISSA,2010,12429
ORISSA,2011,12753
ORISSA,2012,12867
ORISSA,2013,14473
PONDICHERRY,2001,262
PONDICHERRY,2002,246
PONDICHERRY,2003,278
PONDICHERRY,2004,301
PONDICHERRY,2005,288
PONDICHERRY,2006,312
PONDICHERRY,2007,346
PONDICHERRY,2008,300
PONDICHERRY,2009,269
PONDICHERRY,2010,261
PONDICHERRY,2011,242
PONDICHERRY,2012,285
PONDICHERRY,2013,280
PUNJAB,2001,12054
PUNJAB,2002,12109
PUNJAB,2003,13232
PUNJAB,2004,15064
PUNJAB,2005,14678
PUNJAB,2006,15115
PUNJAB,2007,15972
PUNJAB,2008,16115
PUNJAB,2009,17854
PUNJAB,2010,17644
PUNJAB,2011,17821
PUNJAB,2012,23219
PUNJAB,2013,27449
RAJASTHAN,2001,12995
RAJASTHAN,2002,12386
RAJASTHAN,2003,12695
RAJASTHAN,2004,13171
RAJASTHAN,2005,12993
RAJASTHAN,2006,13983
RAJASTHAN,2007,14687
RAJASTHAN,2008,15520
RAJASTHAN,2009,17932
RAJASTHAN,2010,17194
RAJASTHAN,2011,18104
RAJASTHAN,2012,19351
RAJASTHAN,2013,19293
SIKKIM,2001,186
SIKKIM,2002,172
SIKKIM,2003,171
SIKKIM,2004,162
SIKKIM,2005,195
SIKKIM,2006,225
SIKKIM,2007,226
SIKKIM,2008,260
SIKKIM,2009,193
SIKKIM,2010,207
SIKKIM,2011,190
SIKKIM,2012,236
SIKKIM,2013,230
TAMILNADU,2001,21260
TAMILNADU,2002,21895
TAMILNADU,2003,22653
TAMILNADU,2004,21102
TAMILNADU,2005,20681
TAMILNADU,2006,18656
TAMILNADU,2007,16599
TAMILNADU,2008,16204
TAMILNADU,2009,14360
TAMILNADU,2010,13866
TAMILNADU,2011,13869
TAMILNADU,2012,13195
TAMILNADU,2013,14721
TRIPURA,2001,1040
TRIPURA,2002,1041
TRIPURA,2003,1401
TRIPURA,2004,1265
TRIPURA,2005,1410
TRIPURA,2006,1370
TRIPURA,2007,1317
TRIPURA,2008,1278
TRIPURA,2009,988
TRIPURA,2010,951
TRIPURA,2011,899
TRIPURA,2012,901
TRIPURA,2013,901
UTTAR PRADESH,2001,53296
UTTAR PRADESH,2002,52225
UTTAR PRADESH,2003,50531
UTTAR PRADESH,2004,51706
UTTAR PRADESH,2005,56718
UTTAR PRADESH,2006,66669
UTTAR PRADESH,2007,76180
UTTAR PRADESH,2008,80809
UTTAR PRADESH,2009,83805
UTTAR PRADESH,2010,82673
UTTAR PRADESH,2011,82383
UTTAR PRADESH,2012,80311
UTTAR PRADESH,2013,83518
UTTARANCHAL,2001,2290
UTTARANCHAL,2002,2359
UTTARANCHAL,2003,2431
UTTARANCHAL,2004,2365
UTTARANCHAL,2005,2350
UTTARANCHAL,2006,2644
UTTARANCHAL,2007,2709
UTTARANCHAL,2008,3234
UTTARANCHAL,2009,3507
UTTARANCHAL,2010,3543
UTTARANCHAL,2011,3261
UTTARANCHAL,2012,3535
UTTARANCHAL,2013,3845
WEST BENGAL,2001,12347
WEST BENGAL,2002,18743
WEST BENGAL,2003,16289
WEST BENGAL,2004,16319
WEST BENGAL,2005,18158
WEST BENGAL,2006,18193
WEST BENGAL,2007,18598
WEST BENGAL,2008,20230
WEST BENGAL,2009,17586
WEST BENGAL,2010,18519
WEST BENGAL,2011,19508
WEST BENGAL,2012,20431
WEST BENGAL,2013,22778
